('G339015', '170318424002027')
('G339029', '170318421006000')
('G339802', '170315401012000')
('G339992', '170312909003023')
('G344112', '170312307001018')
('G344397', '170312520002003')
('G344605', '170310306032002')
('G346418', '170318439004000')
('G349020', '170312432001007')
('G351558', '170312309001006')
('G352627', '170312311001014')
('G352803', '170315204004013')
('G352974', '170317005021002')
('G353144', '170312828001019')
('G353149', '170312213003006')
('G355946', '170316810002007')
('G356644', '170312606001000')
('G356804', '170318410001025')
('G358387', '170318349001003')
('G360524', '170318344002004')
('G361737', '170314904001019')
('G361818', '170312305002009')
('G362854', '170318421005000')
('G362854', '170318421005000')
('G363031', '170313819001000')
('G364890', '170314603013002')
('G364948', '170318342001009')
('G364948', '170318342001009')
('G365057', '170314910005019')
('G365163', '170314913004009')
('G365482', '170314908005018')
('G366917', '170312420001012')
('G367752', '170312105023010')
('G369513', '170310308004000')
('G370946', '170313105001003')
('G371278', '170312515004009')
('G371378', '170315305021007')
('G373323', '170312512003001')
('G373354', '170314801002000')
('G373628', '170313018032004')
('G375375', '170311708002016')
('G375841', '170318374001016')
('G377597', '170317506002005')
('G378147', '170317303001028')
('G380193', '170318368001019')
('G380402', '170318413003019')
('G380429', '170318415002013')
('G380439', '170313106002018')
('G380472', '170314909013009')
('G380688', '170316914003012')
('G382110', '170314314003013')
('G383627', '170317305004024')
('G384625', '170318343002018')
('G386706', '170316702001025')
('G386706', '170316702001025')
('G389122', '170318347001019')
('G390543', '170311403023005')
('G390651', '170316104001007')
('G391120', '170312205003002')
('G391211', '170311401002001')
('G392579', '170312409001023')
('G393942', '170312909001008')
('G395545', '170314305002000')
('G397434', '170317005011010')
('G397581', '170316603022012')
('G397986', '170316705001005')
('G398042', '170316809001018')
('G399481', '170316720003016')
('G400491', '170318347003018')
('G401141', '170318346004044')
('G401538', '170314309001006')
('G401835', '170312414002000')
('G401835', '170312415003003')
('G401839', '170314402012000')
('G402063', '170310804003007')
('G404236', '170310317001004')
('G406227', '170317506003011')
('G406405', '170318346002029')
('G408978', '170318342003005')
('G410898', '170318346004022')
('G411262', '170313017022008')
('G413138', '170312609002005')
('G415400', '170314305001002')
('G418018', '170316104001002')
('G419085', '170310804001009')
('G419125', '170316113001003')
('G419553', '170314601002005')
('G420109', '170314313013015')
('G420949', '170317104001014')
('G421279', '170318430002011')
('G421984', '170312518004004')
('G422531', '170318374002023')
('G422700', '170312410001007')
('G422804', '170314203001001')
('G422925', '170312209013000')
('G423609', '170310312004004')
('G425608', '170316702001013')
('G427393', '170318429001008')
('G427516', '170316113003013')
('G429160', '170318388001011')
('G429422', '170311913022007')
('G429901', '170311801004014')
('G430250', '170317112004048')
('G431507', '170312520002013')
('G432388', '170312605001001')
('G432403', '170312520003003')
('G433129', '170312912002009')
('G433655', '170311913022010')
('G433755', '170318418002026')
('G433824', '170313504001004')
('G433824', '170313504001004')
('G434632', '170316606003008')
('G435719', '170313012001002')
('G436585', '170314409001019')
('G437060', '170311701001005')
('G441060', '170318422001071')
('G441274', '170311606022003')
('G441772', '170312311001012')
('G443139', '170318429002000')
('G443474', '170313007002006')
('G444606', '170316113003005')
('G446123', '170310810006003')
('G446720', '170316912001002')
('G447444', '170316718001015')
('G447582', '170312308001014')
('G450312', '170311502001011')
('G450601', '170318359002013')
('G451387', '170316701001004')
('G455485', '170314914003004')
('G456492', '170316303002000')
('G457054', '170318374002019')
('G459053', '170312415001019')
('G459242', '170313201003002')
('G459397', '170312603001009')
('G461523', '170313018012037')
('G462025', '170314003001004')
('G464441', '170318387002000')
('G468177', '170318387001001')
('G468610', '170312428001008')
('G470422', '170312312005007')
('G473112', '170318313001028')
('G476774', '170312315003004')
('G477463', '170312510001025')
('G477822', '170313106002000')
('G477838', '170312306004017')
('G483292', '170316909002008')
('G484903', '170315401014000')
('G486879', '170317105001009')
('G486888', '170316912002015')
('G489136', '170313801001029')
('G491428', '170317505003041')
('G491428', '170317505003041')
('G491428', '170317505003041')
('G491442', '170318410001025')
('G491790', '170310205001007')
('G493069', '170315301001001')
('G493127', '170314304003006')
('G493510', '170318314001015')
('G494503', '170314206001001')
('G495183', '170316810004017')
('G497018', '170316603021012')
('G500106', '170312410002009')
('G500180', '170317102001003')
('G501252', '170317105001012')
('G501252', '170312518001007')
('G501811', '170312520003009')
('G503487', '170318416001015')
('G506663', '170313106001021')
('G506821', '170318367002014')
('G508605', '170316702001009')
('G508892', '170314601002015')
('G509702', '170314910002007')
('G510905', '170315801001010')
('G510940', '170314701001035')
('G511681', '170318367002023')
('G511752', '170312714001005')
('G513171', '170314409002017')
('G514099', '170313301001008')
('G515853', '170312315006016')
('G516533', '170316701002016')
('G516877', '170312315005016')
('G517750', '170317107001003')
('G517940', '170312508001015')
('G518162', '170316915003000')
('G519612', '170318311004024')
('G520363', '170313514001013')
('G522464', '170315305012030')
('G522551', '170310819001000')
('G522714', '170312416002005')
('G522725', '170318355002000')
('G522878', '170314804003026')
('G526151', '290910906002028')
('G528607', '170318350002006')
('G530864', '170310106004012')
('G532956', '170317104003011')
('G533004', '170318378002002')
('G533190', '170314401012001')
('G535286', '170315305031025')
('G536676', '170316119001027')
('G537366', '170316113003013')
('G537490', '170310402021012')
('G537887', '170313807001016')
('G538554', '170310514002008')
('G538725', '170314302003002')
('G539798', '170314304003004')
('G539833', '170318392002008')
('G540113', '170313017011006')
('G540136', '170312609001007')
('G540323', '170314409003004')
('G540323', '170314409003004')
('G540865', '170312409001005')
('G541828', '170314607002006')
('G541859', '170318436001007')
('G543889', '170316603011006')
('G544216', '170314306002000')
('G546113', '170312514001004')
('G547890', '170316112001007')
('G550605', '170314914002014')
('G551411', '170316912003006')
('G551630', '170316704001012')
('G552508', '170318421004008')
('G552723', '170314401014010')
('G552836', '170314402023016')
('G554146', '170316121001003')
('G555677', '170314008001007')
('G556311', '170318407001006')
('G556829', '170310106001009')
('G559110', '170312312003012')
('G560545', '170312801002031')
('G560941', '170310313004006')
('G564944', '170312519002011')
('G567131', '170316104001009')
('G568034', '170318347002010')
('G570120', '170316111003010')
('G570285', '170310622001016')
('G571096', '170318346004043')
('G572052', '170311902004016')
('G572174', '170315103001013')
('G572463', '170318430001024')
('G572812', '170312608002002')
('G574678', '170317201001009')
('G575283', '170313514001001')
('G576180', '170314909011020')
