CaseNumber,Latitude,Longitude
G711052,41.808888051,-87.689339281
G713323,41.881890949,-87.721461893
G718132,41.760015287,-87.593260266
G719468,41.749918509,-87.624518496
G719550,41.888985375,-87.714904706
G719667,41.882809858,-87.771876815
G719922,41.855919856,-87.669666193
G720039,41.899540054,-87.640009077
G720495,41.682152716,-87.624025349
G721854,42.020537666,-87.666422486
G722334,41.814197454,-87.626212961
G722362,41.934725736,-87.678195899
G723106,41.734316563,-87.642906333
G723360,41.923718707,-87.689361689
G723559,41.939227399,-87.716551275
G725229,41.895369652,-87.772310424
G726109,41.90535268,-87.692011234
G729426,41.736839959,-87.558341882
G729640,41.811811224,-87.700791434
G730689,41.751198244,-87.572315031
G734147,41.889026144,-87.64903618
G734740,41.847460947,-87.678558495
G735183,41.687781719,-87.620979701
G736592,41.965225762,-87.708373009
G740056,41.939130617,-87.724123696
G740114,41.7313061,-87.562222204
G740460,41.722505315,-87.57254747
G744856,41.741928315,-87.55515514
G744930,41.764569155,-87.628341654
G746173,41.772372122,-87.5838361
G748971,41.888426381,-87.752917551
G749305,41.902892482,-87.766896097
G750779,41.895924477,-87.749290524
G751124,41.782269493,-87.695919424
G754527,41.782932485,-87.61569264
G755943,41.812390862,-87.628305374
G757106,41.737871237,-87.582222212
G759169,41.764393867,-87.645604327
G759170,41.994546321,-87.661047161
G759800,41.719047041,-87.534076576
G760476,41.733703312,-87.553488512
G761106,41.885001213,-87.725791327
G7620241,41.964222343,-87.663763403
G763171,41.850280454,-87.68117242
G765929,41.757327195,-87.644213747
G768259,41.846447308,-87.626981006
G768259,41.846447308,-87.626981006
G770219,41.963880376,-87.649971265
G773254,41.88018458,-87.768716084
G773359,41.845634525,-87.712386274
G773995,41.829748868,-87.626599554
G776686,41.788274362,-87.67171376
G777020,41.856602949,-87.655530431
G777021,41.802130398,-87.694031842
G777096,41.920519191,-87.691367018
G777990,41.745689506,-87.665749414
G778915,41.743714919,-87.55881985
G900755,41.887449145,-87.711955803
HH101153,41.786580849,-87.632782985
HH103319,41.901450966,-87.727494115
HH103645,41.846003652,-87.730157213
HH103827,41.89652481,-87.639211587
HH104274,41.670028597,-87.641646526
HH105486,41.768219463,-87.652986514
HH105585,41.7685342,-87.66546863
HH106070,41.887050149,-87.740296627
HH106070,41.887050149,-87.740296627
HH108838,41.786291714,-87.664386014
HH108838,41.786291714,-87.664386014
HH109379,41.836242728,-87.729195703
HH110488,41.837606711,-87.732874558
HH110626,41.721962682,-87.610059993
HH110742,41.773300126,-87.589815515
HH112360,41.802662129,-87.651444958
HH112848,41.779673403,-87.650086362
HH114518,41.778540873,-87.609013972
HH114896,41.671580428,-87.626074017
HH114929,41.698789971,-87.606200236
HH114959,41.779568811,-87.613193035
HH118925,41.680758359,-87.645660939
HH119162,41.863822715,-87.721446964
HH122892,41.750538141,-87.634278086
HH123705,41.883290212,-87.731793349
HH123814,41.84512641,-87.618847945
HH127175,41.894414378,-87.724831644
HH130681,42.012563414,-87.678876953
HH130793,41.78633318,-87.648600296
HH131198,41.775004068,-87.601743597
HH131667,41.852051628,-87.627069839
HH133302,41.850977105,-87.705228658
HH135394,41.676195092,-87.623190292
HH136059,41.953552585,-87.647905229
HH138499,41.80996032,-87.61384312
HH146676,41.969396938,-87.704349812
HH146720,41.865464821,-87.720098641
HH148473,41.814751217,-87.745916343
HH149105,41.906595415,-87.728867167
HH152261,41.990279378,-87.6615629
HH154152,41.790081654,-87.646264897
HH158954,41.780335164,-87.701955135
HH160527,41.877449278,-87.694974483
HH161435,41.807738845,-87.66495155
HH167941,41.880452272,-87.748722719
HH175723,41.826601623,-87.620451858
HH177432,41.954356038,-87.752279309
HH178109,41.804618366,-87.625958859
HH178298,41.886816493,-87.634366196
HH180733,41.776099836,-87.569813696
HH190442,41.808597696,-87.665404791
HH191478,41.837134851,-87.710233636
HH192723,41.758273974,-87.622590327
HH194368,41.891894474,-87.738316268
HH198035,41.98625526,-87.658096219
HH199124,41.766498729,-87.621718782
HH202894,41.802946964,-87.621051552
HH203567,41.734454625,-87.585596055
HH205535,41.870767914,-87.72135136
HH205535,41.870767914,-87.72135136
HH205720,41.839804007,-87.627964177
HH206795,41.907876542,-87.672504431
HH207274,41.894439594,-87.712622632
HH207311,41.787582014,-87.648631009
HH207311,41.787582014,-87.648631009
HH207435,41.773045493,-87.672530163
HH207983,41.800629888,-87.648429775
HH209260,41.883225022,-87.73718486
HH211040,41.768062885,-87.665117946
HH211338,41.91902511,-87.700042375
HH212130,41.787844269,-87.683870028
HH215105,41.88707894,-87.716076256
HH216168,41.746765368,-87.602624951
HH216219,41.746823018,-87.602627962
HH217148,41.736458248,-87.585638764
HH220638,41.680860482,-87.65174766
HH223398,41.899664378,-87.717674131
HH230931,41.746220757,-87.578240589
HH232668,41.790035081,-87.655982796
HH232986,41.926612508,-87.773378066
HH233509,41.72491915,-87.604546637
HH235648,41.900984527,-87.772904103
HH237332,41.897524798,-87.769136372
HH240444,41.928553677,-87.745038826
HH241047,41.903726336,-87.64250581
HH243265,41.958419404,-87.65645628
HH245278,41.885615086,-87.75704141
HH245450,41.856710483,-87.679282732
HH245450,41.856710483,-87.679282732
HH246937,41.738089157,-87.576954533
HH249066,41.758526554,-87.60855003
HH249096,41.805731957,-87.670969329
HH251081,41.925456357,-87.723129348
HH251391,41.870490411,-87.720259887
HH253040,41.766421928,-87.634692177
HH254048,41.765129284,-87.616855105
HH257532,41.787370815,-87.625110793
HH257615,41.771703065,-87.645793868
HH257676,41.846562186,-87.687034749
HH257676,41.846562186,-87.687034749
HH257676,41.846562186,-87.687034749
HH259717,41.856012269,-87.664309668
HH260295,41.837397675,-87.69611394
HH261329,41.775963639,-87.615517372
HH261672,41.903726336,-87.64250581
HH263021,41.7648895,-87.665422123
HH267185,41.850911095,-87.734486258
HH267565,41.900244713,-87.770890283
HH268318,41.754350905,-87.550585227
HH269798,41.855807441,-87.713899319
HH269870,41.854842301,-87.681812488
HH270572,41.80968984,-87.671078948
HH272105,41.847120382,-87.707552924
HH273192,41.854669385,-87.683260474
HH275072,41.931197525,-87.678827358
HH276121,41.865137529,-87.662533116
HH277746,41.767554109,-87.569812396
HH279592,41.771336177,-87.666422021
HH279713,41.871884998,-87.704117117
HH280024,41.7438292,-87.70222863
HH280696,41.764495627,-87.641527218
HH282149,41.764104971,-87.665008731
